Title,Developer,Publisher,MVS release date,AES release date
Fatal Fury 2 (Garō Densetsu 2: Aratanaru Tatakai),SNK,SNK,1992-12-10,1993-03-05
Far East of Eden: Kabuki Klash (Tengai Makyō: Shinden),Hudson Soft/Red,"Hudson Soft, SNK",1995-06-20,1995-07-28
Eight Man (8 Man),SNK/Pallas,SNK,1991-11-20,TBA
Double Dragon (Double Dragon 6-1),Technōs Japan Corp.(Imperial Entertainmentlicensed),"Technōs Japan Corp., SNK",1995-03-03,1995-03-31
Cyber-Lip,SNK,SNK,1990-11-07,1991-07-01
Crossed Swords,Alpha Denshi,"Alpha Denshi, SNK",1991-07-25,1991-10-01
Chibi Maruko-chan Deluxe Quiz,Takara,"Takara, SNK",1995-11-27,1996-01-26
Captain Tomaday,Visco,"Visco, SNK",1999-05-27,TBA
Burning Fight,SNK,SNK,1991-05-20,1991-08-09
Breakers Revenge,Visco,"Visco, SNK",1998-07-03,N/A
Breakers,Visco,"Visco, SNK",1996-12-17,1997-03-21
Bomberman: Panic Bomber,Hudson Soft/8ing,"Hudson Soft, SNK",1994-12-22,1995-07-21
Blue's Journey (Raguy),Alpha Denshi,"Alpha Denshi, SNK",1991-03-14,1991-07-01
Blazing Star,Yumekobo,"Yumekobo, SNK",1998-01-19,1998-02-26
Battle Flip Shot (Flip Shot),Visco,"Visco, SNK",1998-12-08,N/A
Baseball Stars Professional,SNK,SNK,1990-04-26,1991-07-01
Baseball Stars 2,SNK,SNK,1992-04-15,1992-04-28
Bang Bead (Bang Beads),Visco,"Visco, SNK",2000,N/A
Baka-tonosama Mahjong Manyūki,Monolith,"Monolith, SNK",1991-12-20,TBA
Art of Fighting 3: The Path of the Warrior (ART OF FIGHTING: Ryūko no Ken - Gaiden),SNK,SNK,1996-03-12,1996-04-26
Art of Fighting 2 (Ryūko no Ken 2),SNK,SNK,1994-02-03,1994-03-11
Art of Fighting (Ryūko no Ken),SNK,SNK,1992-09-24,1992-12-11
Andro Dunos,Visco,"Visco, SNK",1992-06-15,1992-07-17
Alpha Mission II (ASO II: Last Guardian),SNK,SNK,1991-03-25,1991-07-01
Aggressors of Dark Kombat (Tsūkai GANGAN Kōshinkyoku),ADK/SNK,"ADK, SNK",1994-07-26,1994-08-26
Aero Fighters 3 (Sonic Wings 3),Video System,"Video System, SNK",1995-10-12,1995-11-17
Aero Fighters 2 (Sonic Wings 2),Video System,"Video System, SNK",1994-07-18,1994-08-26
3 Count Bout (Fire Suplex),SNK,SNK,1993-03-25,1993-04-23
